                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.32179,                0.30794,                0.90117,                0.92868,                0.88157,                0.95659,                0.85645,                0.52433,                0.54667,                 1.0543,              0.0033067,              0.0033067,              0.0033067
                     69,                0.32771,                0.30476,                0.89519,                0.90388,                0.88675,                0.95301,                0.84609,                0.53985,                0.56768,                  1.073,              0.0032068,              0.0032068,              0.0032068
                     70,                0.31444,                0.30751,                0.88752,                0.91109,                0.87466,                 0.9455,                0.83841,                0.53328,                0.55172,                 1.0733,              0.0031069,              0.0031069,              0.0031069
                     71,                 0.3227,                0.30471,                0.89381,                0.93346,                0.88017,                0.95567,                0.84281,                0.55488,                0.50492,                 1.0991,               0.003007,               0.003007,               0.003007
                     72,                0.30487,                0.29838,                0.88765,                0.89822,                0.88944,                  0.948,                0.85113,                0.53008,                0.48676,                 1.0733,              0.0029071,              0.0029071,              0.0029071
                     73,                0.29653,                0.28312,                0.87827,                0.92562,                0.84758,                0.93601,                0.84221,                0.51033,                0.53465,                  1.053,              0.0028072,              0.0028072,              0.0028072
                     74,                0.29416,                  0.274,                0.85364,                0.89825,                0.85546,                0.94768,                0.84766,                0.51397,                0.54832,                 1.0669,              0.0027073,              0.0027073,              0.0027073
                     75,                0.29487,                0.27928,                0.87745,                0.93277,                0.88455,                0.95982,                0.85789,                0.52451,                0.48372,                 1.0659,              0.0026074,              0.0026074,              0.0026074
                     76,                0.28086,                0.27402,                0.85741,                0.90646,                0.86322,                0.95336,                0.83952,                0.53564,                0.49251,                 1.0794,              0.0025075,              0.0025075,              0.0025075
                     77,                0.27719,                0.26849,                0.84688,                0.92808,                 0.8795,                0.94909,                0.85253,                0.52619,                 0.4677,                 1.0776,              0.0024076,              0.0024076,              0.0024076
                     78,                0.27986,                 0.2679,                0.85227,                0.92991,                0.90845,                0.96703,                0.87393,                0.51763,                 0.4711,                 1.0575,              0.0023077,              0.0023077,              0.0023077
                     79,                0.27503,                0.26405,                0.85453,                0.91839,                0.90239,                0.96309,                0.85887,                0.53099,                0.48657,                 1.0671,              0.0022078,              0.0022078,              0.0022078
                     80,                0.27447,                0.26261,                0.85221,                0.89771,                0.90604,                0.95887,                0.85946,                 0.5135,                0.50305,                 1.0499,              0.0021079,              0.0021079,              0.0021079
                     81,                0.26935,                0.26574,                0.86436,                0.93804,                0.85336,                0.95823,                 0.8636,                0.49847,                0.52763,                 1.0449,               0.002008,               0.002008,               0.002008
                     82,                0.26512,                0.26019,                0.86526,                0.93256,                0.90176,                0.95974,                0.86213,                 0.5032,                 0.4759,                 1.0674,              0.0019081,              0.0019081,              0.0019081
                     83,                0.25795,                0.25791,                 0.8563,                0.93455,                0.89874,                0.96367,                0.86856,                0.50441,                0.44987,                 1.0487,              0.0018082,              0.0018082,              0.0018082
                     84,                0.26525,                0.25814,                0.84945,                 0.9274,                0.90709,                0.96397,                0.87033,                0.50991,                0.44951,                  1.061,              0.0017083,              0.0017083,              0.0017083
                     85,                0.26259,                0.25162,                0.84798,                 0.9375,                0.91065,                0.96207,                  0.867,                0.50482,                0.43827,                 1.0515,              0.0016084,              0.0016084,              0.0016084
                     86,                0.25227,                0.24726,                0.84469,                0.90673,                0.92831,                0.96701,                0.87271,                0.50328,                0.43614,                  1.055,              0.0015085,              0.0015085,              0.0015085
                     87,                0.25546,                0.24524,                0.83761,                0.91887,                0.91099,                0.96882,                 0.8745,                0.49957,                0.43773,                 1.0592,              0.0014086,              0.0014086,              0.0014086
                     88,                 0.2536,                0.24726,                 0.8472,                0.95041,                0.88729,                0.96679,                0.87423,                0.48981,                0.42756,                 1.0394,              0.0013087,              0.0013087,              0.0013087
                     89,                0.24318,                0.23766,                0.84717,                0.90941,                0.90157,                0.95766,                 0.8694,                0.49509,                0.44789,                 1.0288,              0.0012088,              0.0012088,              0.0012088
                     90,                0.24444,                0.24249,                0.85668,                0.89927,                0.92577,                0.96835,                0.88186,                0.48371,                0.44788,                 1.0249,              0.0011089,              0.0011089,              0.0011089
                     91,                0.23109,                0.23298,                0.83494,                0.90652,                0.91778,                0.96746,                0.87731,                0.48357,                0.43994,                 1.0325,               0.001009,               0.001009,               0.001009
                     92,                0.23787,                0.23693,                 0.8568,                0.92309,                0.90125,                0.96262,                0.86844,                0.48027,                0.41797,                 1.0317,              0.0009091,              0.0009091,              0.0009091
                     93,                0.23144,                0.22955,                0.84501,                0.90451,                0.91419,                0.95969,                0.86981,                0.48062,                0.41839,                 1.0328,              0.0008092,              0.0008092,              0.0008092
                     94,                0.22063,                0.22478,                0.82801,                0.92122,                0.91396,                0.96183,                0.87727,                0.48447,                0.42171,                  1.039,              0.0007093,              0.0007093,              0.0007093
                     95,                0.22234,                0.22654,                0.83693,                 0.9344,                0.90288,                0.96913,                0.87648,                0.48766,                0.42294,                 1.0441,              0.0006094,              0.0006094,              0.0006094
                     96,                0.22002,                0.22731,                0.82283,                0.93357,                0.88712,                0.95874,                0.87476,                0.48436,                0.42739,                 1.0368,              0.0005095,              0.0005095,              0.0005095
                     97,                0.22327,                0.22776,                0.84247,                0.93473,                0.88134,                0.96171,                0.87329,                0.48988,                0.42957,                 1.0402,              0.0004096,              0.0004096,              0.0004096
                     98,                0.22132,                0.22425,                0.84576,                0.93591,                 0.8852,                  0.965,                0.87514,                0.48924,                0.42506,                 1.0427,              0.0003097,              0.0003097,              0.0003097
                     99,                0.21502,                0.22113,                0.83974,                0.93942,                 0.8817,                0.96336,                 0.8759,                0.48272,                0.42433,                 1.0393,              0.0002098,              0.0002098,              0.0002098
