                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                  2.027,                 3.3297,                 2.6426,                 0.0033,                0.01923,                0.00495,                0.00086,                 3.4032,                 6.1745,                 4.8617,              0.0024076,              0.0024076,              0.0024076
                     78,                 1.9954,                 3.3391,                 2.6666,                 0.0033,                0.01923,                0.00495,                0.00086,                 3.6916,                 6.0932,                 4.6459,              0.0023077,              0.0023077,              0.0023077
                     79,                 1.9668,                 3.2491,                 2.5906,                 0.0033,                0.01923,                0.00495,                0.00086,                 3.8021,                  5.865,                 4.8793,              0.0022078,              0.0022078,              0.0022078
                     80,                 1.9483,                 3.2414,                 2.6019,                 0.0033,                0.01923,                0.00495,                0.00086,                 4.0015,                  5.847,                 4.9794,              0.0021079,              0.0021079,              0.0021079
                     81,                  1.946,                 3.2432,                 2.6151,                 0.0033,                0.01923,                0.00495,                0.00086,                 3.6352,                 6.0704,                 4.4903,               0.002008,               0.002008,               0.002008
                     82,                 1.9133,                 3.2161,                 2.5982,                 0.0033,                0.01923,                0.00495,                0.00086,                  3.381,                 5.5754,                 4.2179,              0.0019081,              0.0019081,              0.0019081
                     83,                  1.928,                 3.2217,                 2.5926,                 0.0033,                0.01923,                0.00495,                0.00086,                 3.5951,                 5.5588,                 4.2924,              0.0018082,              0.0018082,              0.0018082
                     84,                 1.9142,                 3.1905,                 2.5603,                 0.0033,                0.01923,                0.00495,                0.00086,                 3.8486,                 5.2882,                 4.9591,              0.0017083,              0.0017083,              0.0017083
                     85,                 1.9039,                 3.1586,                 2.5505,                 0.0033,                0.01923,                0.00495,                0.00086,                 3.5268,                 6.0902,                 4.2845,              0.0016084,              0.0016084,              0.0016084
                     86,                 1.8511,                 3.1494,                 2.5095,                0.00028,                0.00962,                 0.0002,                  2e-05,                 3.3216,                 5.9252,                 4.0668,              0.0015085,              0.0015085,              0.0015085
                     87,                 1.8486,                 3.1473,                   2.52,                0.00028,                0.00962,                 0.0002,                  2e-05,                 3.3802,                 6.4942,                 4.1077,              0.0014086,              0.0014086,              0.0014086
                     88,                 1.8777,                 3.1373,                 2.5442,                0.00028,                0.00962,                 0.0002,                  2e-05,                 3.3228,                 5.9964,                 4.0796,              0.0013087,              0.0013087,              0.0013087
                     89,                 1.8848,                 3.1634,                 2.5382,                0.00021,                0.00962,                0.00017,                  2e-05,                 3.4482,                 5.3506,                 4.1863,              0.0012088,              0.0012088,              0.0012088
                     90,                 1.7763,                 3.0874,                 2.6851,                0.00021,                0.00962,                0.00017,                  2e-05,                  3.384,                 5.1154,                 4.3684,              0.0011089,              0.0011089,              0.0011089
                     91,                  1.713,                 2.9758,                 2.6745,                0.00021,                0.00962,                0.00017,                  2e-05,                 3.3133,                 5.0895,                 4.2015,               0.001009,               0.001009,               0.001009
                     92,                 1.7031,                 2.8631,                 2.6441,                0.00021,                0.00962,                0.00017,                  2e-05,                 3.2446,                 5.2047,                 4.0977,              0.0009091,              0.0009091,              0.0009091
                     93,                 1.7293,                 2.8216,                 2.6459,                0.00192,                0.00962,                0.00387,                0.00039,                 3.1757,                 5.5261,                 4.3164,              0.0008092,              0.0008092,              0.0008092
                     94,                  1.701,                 2.8422,                 2.6554,                0.00192,                0.00962,                0.00387,                0.00039,                 3.4627,                 5.8906,                 4.5674,              0.0007093,              0.0007093,              0.0007093
                     95,                 1.6589,                 2.7597,                 2.6028,                 0.0035,                0.00962,                0.00368,                0.00037,                  3.334,                 5.9934,                  4.184,              0.0006094,              0.0006094,              0.0006094
                     96,                 1.6394,                 2.7623,                 2.5859,                 0.0035,                0.00962,                0.00368,                0.00037,                  3.258,                 5.9694,                 3.9979,              0.0005095,              0.0005095,              0.0005095
                     97,                 1.6621,                 2.7294,                 2.6143,                 0.0035,                0.00962,                0.00368,                0.00037,                 3.4532,                 5.9928,                 4.2415,              0.0004096,              0.0004096,              0.0004096
                     98,                 1.6755,                 2.7372,                 2.5703,                 0.0035,                0.00962,                0.00368,                0.00037,                 3.5062,                 5.8581,                 4.4059,              0.0003097,              0.0003097,              0.0003097
                     99,                 1.6428,                  2.691,                 2.5738,                 0.0035,                0.00962,                0.00368,                0.00037,                 3.4682,                 5.7113,                 4.3477,              0.0002098,              0.0002098,              0.0002098
